,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,20th October 2020,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
08:30,Registration,,,,,
09:00,Welcome,,,,,
,,,,,,
09:10,Session1,New Biology from Image Analysis,,,,
09:10,Eva Frickel,University of Birmingham,HRMAn - a versatile and intelligent image analysis tool for host-pathogen studies,,,
09:40,George Ashdown,Imperial College London,A machine learning approach to define antimalarial drug action from heterogeneous cell-based screens  ,,,
10:10,Carles Bosch,Francis Crick Institute,Subcellular context in multi-mm samples of functionally-imaged mammalian brain,,,
10:40,Mike Juniper,Nikon,Nikon AI Software: Taking microscope imaging and analysis to the next level,,,
10:50,Oliver Schlicker ,Leica,THUNDER – Clear data for easy analysis,,,
,,,,,,
11:00,Coffee,,,,,
,,,,,,
11:20,Session 2,High Throughput Analysis,,,,
11:20,Peter Horvath,Hungarian Academy of Sciences,Life beyond the pixels: single-cell analysis using deep learning and image analysis methods,,,
11:50,Davide Danovi,Kings College London,"Imaging cells: defining objects, capturing identities, testing boundaries",,,
12:20,Martina Sciola,MathWorks,Automate and Speed up your Image Processing in MATLAB  ,,,
12:30,Christopher Storey ,Olympus,Image Analysis in the next dimension: 3D High Content Screening analysis for Organoids and 3D Cell cultures ,,,
12:40,Alan Kidger,Zeiss,ZEN Intellesis: An Open Ecosystem for integrated Machine-Learning Workflows,,,
,,,,,,
12:50,Lunch & Workshops,,,,,
,,,,,,
14:20,Ellie Lech,BBSRC,A funder’s perspective on BioImage Analysis,,,
,,,,,,
14:30,Session 3,AI & Large Data Sets,,,,
14:30,Heba Sailem,"Institute of Biomedical Engineering, Oxford",Biological discovery from microscopy data,,,
15:00,Pete Bankhead,University of Edinburgh,QuPath: Open source software for analysing (awkward) images,,,
,,,,,,
15:30,Coffee,,,,,
,,,,,,
15:40,Session 4,Tracking Living Systems,,,,
15:40,Jean-Yves Tinevez,Institut Pasteur,End-user Bioimage analysis tools for very large images - From TrackMate to Mastodon. ,,,
16:10,Viji Draviam,Queen Mary University,Probing the dynamic regulation of human cell division,,,
,,,,,,
16:40,Coffee,,,,,
,,,,,,
16:50,Session 5,Super Resolution Analysis,,,,
16:50,Sian Culley,MRC Laboratory for Molecular Cell Biology,Super-resolution quality assessment and experiment optimisation with SQUIRREL,,,
17:20,Susan Cox,Kings College London,Information and artifacts in localisation microscopy,,,
,,,,,,
17:50,Wrap Up,,,,,
